ticket_id,text_clean,text_length,word_count,hour_of_day,day_of_week,is_weekend,is_business_hours,category,category_encoded,source_dataset
TKT-10000,laptop turning reported laptop turning department impact single,97,8,14,2,0,1,Hardware,4,classifier_v3
TKT-10001,unauthorized access attempt reported unauthorized access attempt department hr impact multiple users network settings reconfigured,142,15,16,1,0,1,Security,7,classifier_v3
TKT-10002,wifi drops frequently reported wifi drops frequently department sales impact multiple users credentials reset access restored,146,16,12,2,0,1,Network,5,classifier_v3
TKT-10003,data corruption detected reported data corruption detected department engineering impact single,112,11,18,2,0,1,Database,2,classifier_v3
TKT-10004,access denied table reported access denied table department operations impact department wide software reinstalled patched latest version,162,17,13,1,0,1,Database,2,classifier_v3
TKT-10005,query running slowly reported query running slowly department finance impact multiple users escalated l2 support further investigation,153,17,13,1,0,1,Database,2,classifier_v3
TKT-10006,email bouncing back reported email bouncing back department engineering impact single hardware replaced under warranty,135,15,8,6,1,1,Email,3,classifier_v3
TKT-10007,vpn timeout issues reported vpn timeout issues department legal impact multiple users configuration updated verified working,140,16,13,0,0,1,VPN,9,classifier_v3
TKT-10008,keyboard working reported keyboard working department legal impact single,98,9,20,6,1,0,Hardware,4,classifier_v3
TKT-10009,offboarding checklist reported offboarding checklist department operations impact department wide escalated l2 support further investigation,159,15,12,2,0,1,Access Management,0,classifier_v3
TKT-10010,sso working reported sso working department impact single,85,8,17,2,0,1,Access Management,0,classifier_v3
TKT-10011,print quality poor reported print quality poor department impact company wide,92,11,13,1,0,1,Printing,6,classifier_v3
TKT-10012,spam filter too aggressive reported spam filter too aggressive department finance impact company wide,113,14,20,6,1,0,Email,3,classifier_v3
TKT-10013,monitor flickering reported monitor flickering department impact company wide network settings reconfigured,122,12,4,2,0,0,Hardware,4,classifier_v3
TKT-10014,suspicious email received reported suspicious email received department sales impact multiple users,111,12,20,0,0,0,Security,7,classifier_v3
TKT-10015,monitor flickering reported monitor flickering department sales impact single issue error provided training,134,13,14,4,0,1,Hardware,4,classifier_v3
TKT-10016,azure storage quota exceeded reported azure storage quota exceeded department impact company wide escalated l2 support further investigation,162,18,7,2,0,0,Cloud,1,classifier_v3
TKT-10017,monitor flickering reported monitor flickering department engineering impact department wide hardware replaced under warranty,137,14,0,6,1,0,Hardware,4,classifier_v3
TKT-10018,access system needed reported access system needed department legal impact single hardware replaced under warranty,137,15,7,6,1,0,Access Management,0,classifier_v3
TKT-10019,query running slowly reported query running slowly department sales impact single configuration updated verified working,141,15,4,6,1,0,Database,2,classifier_v3
TKT-10020,slow network speed reported slow network speed department hr impact multiple users configuration updated verified working,137,16,4,1,0,0,Network,5,classifier_v3
TKT-10021,printer jam reported printer jam department hr impact single,77,9,1,1,0,0,Hardware,4,classifier_v3
TKT-10022,kubernetes pod failing reported kubernetes pod failing department hr impact department wide network settings reconfigured,133,15,10,1,0,1,Cloud,1,classifier_v3
TKT-10023,printer jam reported printer jam department finance impact company wide,83,10,20,5,1,0,Hardware,4,classifier_v3
TKT-10024,access denied table reported access denied table department hr impact company wide,100,12,5,1,0,0,Database,2,classifier_v3
TKT-10025,slow network speed reported slow network speed department operations impact multiple users configuration updated verified working,145,16,20,4,0,0,Network,5,classifier_v3
TKT-10026,query running slowly reported query running slowly department operations impact multiple users,106,12,16,6,1,1,Database,2,classifier_v3
TKT-10027,application crashes startup reported application crashes startup department sales impact multiple users,121,12,18,4,0,1,Software,8,classifier_v3
TKT-10028,paper jammed reported paper jammed department legal impact department wide,86,10,13,4,0,1,Printing,6,classifier_v3
TKT-10029,query running slowly reported query running slowly department operations impact multiple users network settings reconfigured,136,15,1,0,0,0,Database,2,classifier_v3
TKT-10030,unauthorized access attempt reported unauthorized access attempt department operations impact single network settings reconfigured,147,14,12,0,0,1,Security,7,classifier_v3
TKT-10031,calendar invites working reported calendar invites working department sales impact single issue resolved restarting service,155,15,13,0,0,1,Email,3,classifier_v3
TKT-10032,slow network speed reported slow network speed department finance impact single workaround provided while permanent fix pending,147,17,11,6,1,1,Network,5,classifier_v3
TKT-10033,cannot connect internet reported cannot connect internet department engineering impact single,116,11,1,2,0,0,Network,5,classifier_v3
TKT-10034,sso working reported sso working department finance impact company wide,91,10,23,3,0,0,Access Management,0,classifier_v3
TKT-10035,access denied table reported access denied table department engineering impact department wide software reinstalled patched latest version,163,17,0,2,0,0,Database,2,classifier_v3
TKT-10036,docker container crash reported docker container crash department operations impact company wide software reinstalled patched latest version,159,17,19,5,1,0,Cloud,1,classifier_v3
TKT-10037,vpn slow performance reported vpn slow performance department hr impact department wide,99,12,1,4,0,0,VPN,9,classifier_v3
TKT-10038,monitor flickering reported monitor flickering department operations impact single network settings reconfigured,129,12,16,6,1,1,Hardware,4,classifier_v3
TKT-10039,cannot find printer network reported cannot find printer network department finance impact multiple users software reinstalled patched latest version,174,19,11,0,0,1,Printing,6,classifier_v3
TKT-10040,split tunnel configuration reported split tunnel configuration department hr impact department wide workaround provided while permanent fix pending,162,18,22,1,0,0,VPN,9,classifier_v3
TKT-10041,query running slowly reported query running slowly department operations impact company wide hardware replaced under warranty,137,16,10,4,0,1,Database,2,classifier_v3
TKT-10042,mouse responding reported mouse responding department impact company wide,96,9,21,4,0,0,Hardware,4,classifier_v3
TKT-10043,access denied table reported access denied table department finance impact single workaround provided while permanent fix pending,155,17,1,3,0,0,Database,2,classifier_v3
TKT-10044,offboarding checklist reported offboarding checklist department finance impact multiple users,105,10,5,1,0,0,Access Management,0,classifier_v3
TKT-10045,laptop turning reported laptop turning department operations impact department wide workaround provided while permanent fix pending,160,16,21,1,0,0,Hardware,4,classifier_v3
TKT-10046,wifi drops frequently reported wifi drops frequently department legal impact department wide,104,12,8,4,0,1,Network,5,classifier_v3
TKT-10047,split tunnel configuration reported split tunnel configuration department operations impact department wide configuration updated verified working,162,16,23,6,1,0,VPN,9,classifier_v3
TKT-10048,email bouncing back reported email bouncing back department engineering impact company wide,103,12,12,6,1,1,Email,3,classifier_v3
TKT-10049,possible malware detected reported possible malware detected department engineering impact multiple users,117,12,14,5,1,1,Security,7,classifier_v3
TKT-10050,printer jam reported printer jam department operations impact company wide,86,10,5,6,1,0,Hardware,4,classifier_v3
TKT-10051,print quality poor reported print quality poor department legal impact single issue error provided training,134,15,5,4,0,0,Printing,6,classifier_v3
TKT-10052,split tunnel configuration reported split tunnel configuration department sales impact company wide software reinstalled patched latest version,162,17,5,5,1,0,VPN,9,classifier_v3
TKT-10053,vpn working reported vpn working department impact multiple users,88,9,3,4,0,0,Network,5,classifier_v3
TKT-10054,offboarding checklist reported offboarding checklist department engineering impact company wide,107,10,17,6,1,1,Access Management,0,classifier_v3
TKT-10055,printer jam reported printer jam department impact single software reinstalled patched latest version,128,13,11,5,1,1,Hardware,4,classifier_v3
TKT-10056,email bouncing back reported email bouncing back department operations impact multiple users,104,12,13,3,0,1,Email,3,classifier_v3
TKT-10057,wifi drops frequently reported wifi drops frequently department engineering impact company wide,107,12,9,5,1,1,Network,5,classifier_v3
TKT-10058,monitor flickering reported monitor flickering department finance impact single issue resolved restarting service,137,13,5,1,0,0,Hardware,4,classifier_v3
TKT-10059,azure storage quota exceeded reported azure storage quota exceeded department engineering impact single,120,13,11,3,0,1,Cloud,1,classifier_v3
TKT-10060,docker container crash reported docker container crash department legal impact multiple users hardware replaced under warranty,138,16,10,2,0,1,Cloud,1,classifier_v3
TKT-10061,unauthorized access attempt reported unauthorized access attempt department operations impact department wide hardware replaced under warranty,154,16,21,4,0,0,Security,7,classifier_v3
TKT-10062,unauthorized access attempt reported unauthorized access attempt department engineering impact company wide network settings reconfigured,149,15,10,4,0,1,Security,7,classifier_v3
TKT-10063,vpn timeout issues reported vpn timeout issues department sales impact multiple users third party vendor engaged resolution,139,17,11,4,0,1,VPN,9,classifier_v3
TKT-10064,azure storage quota exceeded reported azure storage quota exceeded department sales impact department wide,118,14,9,0,0,1,Cloud,1,classifier_v3
TKT-10065,password reset required reported password reset required department legal impact multiple users,107,12,14,1,0,1,Security,7,classifier_v3
TKT-10066,slow network speed reported slow network speed department hr impact single software reinstalled patched latest version,142,16,9,6,1,1,Network,5,classifier_v3
TKT-10067,email bouncing back reported email bouncing back department operations impact multiple users workaround provided while permanent fix pending,155,18,6,3,0,0,Email,3,classifier_v3
TKT-10068,calendar invites working reported calendar invites working department sales impact multiple users issue error provided training,157,16,21,6,1,0,Email,3,classifier_v3
TKT-10069,data corruption detected reported data corruption detected department operations impact company wide,112,12,16,6,1,1,Database,2,classifier_v3
TKT-10070,keyboard working reported keyboard working department legal impact single,98,9,11,1,0,1,Hardware,4,classifier_v3
TKT-10071,sso working reported sso working department sales impact department wide,92,10,6,1,0,0,Access Management,0,classifier_v3
TKT-10072,keyboard working reported keyboard working department sales impact department wide hardware replaced under warranty,135,14,1,4,0,0,Hardware,4,classifier_v3
TKT-10073,offboarding checklist reported offboarding checklist department operations impact company wide software reinstalled patched latest version,157,15,1,4,0,0,Access Management,0,classifier_v3
TKT-10074,software update failed reported software update failed department operations impact department wide,111,12,15,2,0,1,Software,8,classifier_v3
TKT-10075,offboarding checklist reported offboarding checklist department hr impact department wide,101,10,6,2,0,0,Access Management,0,classifier_v3
TKT-10076,laptop turning reported laptop turning department sales impact department wide,104,10,7,0,0,0,Hardware,4,classifier_v3
TKT-10077,keyboard working reported keyboard working department operations impact single issue error provided training,143,13,4,5,1,0,Hardware,4,classifier_v3
TKT-10078,unauthorized access attempt reported unauthorized access attempt department legal impact multiple users,115,12,9,1,0,1,Security,7,classifier_v3
TKT-10079,cannot install software reported cannot install software department hr impact company wide,102,12,20,1,0,0,Software,8,classifier_v3
TKT-10080,vpn timeout issues reported vpn timeout issues department sales impact single,94,11,5,6,1,0,VPN,9,classifier_v3
TKT-10081,laptop turning reported laptop turning department legal impact multiple users workaround provided while permanent fix pending,154,16,16,0,0,1,Hardware,4,classifier_v3
TKT-10082,mouse responding reported mouse responding department finance impact department wide,104,10,20,3,0,0,Hardware,4,classifier_v3
TKT-10083,aws instance responding reported aws instance responding department impact multiple users,112,11,9,5,1,1,Cloud,1,classifier_v3
TKT-10084,keyboard working reported keyboard working department sales impact department wide configuration updated verified working,145,14,3,6,1,0,Hardware,4,classifier_v3
TKT-10085,cannot install software reported cannot install software department engineering impact department wide network settings reconfigured,144,15,22,2,0,0,Software,8,classifier_v3
TKT-10086,vpn timeout issues reported vpn timeout issues department hr impact multiple users credentials reset access restored,137,16,2,3,0,0,VPN,9,classifier_v3
TKT-10087,driver installation failed reported driver installation failed department engineering impact company wide workaround provided while permanent fix pending,168,18,4,2,0,0,Printing,6,classifier_v3
TKT-10088,vpn slow performance reported vpn slow performance department operations impact single,103,11,10,1,0,1,VPN,9,classifier_v3
TKT-10089,azure storage quota exceeded reported azure storage quota exceeded department impact department wide,115,13,21,6,1,0,Cloud,1,classifier_v3
TKT-10090,cannot connect internet reported cannot connect internet department impact department wide issue resolved restarting service,152,15,18,6,1,1,Network,5,classifier_v3
TKT-10091,vpn slow performance reported vpn slow performance department impact department wide configuration updated verified working,142,15,8,2,0,1,VPN,9,classifier_v3
TKT-10092,driver installation failed reported driver installation failed department finance impact single credentials reset access restored,155,15,10,2,0,1,Printing,6,classifier_v3
TKT-10093,cannot find printer network reported cannot find printer network department legal impact multiple users third party vendor engaged resolution,163,19,6,1,0,0,Printing,6,classifier_v3
TKT-10094,slow network speed reported slow network speed department legal impact multiple users,97,12,20,1,0,0,Network,5,classifier_v3
TKT-10095,docker container crash reported docker container crash department engineering impact company wide escalated l2 support further investigation,159,17,16,1,0,1,Cloud,1,classifier_v3
TKT-10096,cannot find printer network reported cannot find printer network department hr impact company wide,116,14,11,3,0,1,Printing,6,classifier_v3
TKT-10097,cannot connect internet reported cannot connect internet department legal impact company wide credentials reset access restored,154,16,7,2,0,0,Network,5,classifier_v3
TKT-10098,access system needed reported access system needed department sales impact department wide hardware replaced under warranty,141,16,10,1,0,1,Access Management,0,classifier_v3
TKT-10099,paper jammed reported paper jammed department engineering impact company wide escalated l2 support further investigation,139,15,6,1,0,0,Printing,6,classifier_v3
TKT-10100,gcp billing alert reported gcp billing alert department legal impact department wide,96,12,10,0,0,1,Cloud,1,classifier_v3
TKT-10101,slow network speed reported slow network speed department impact department wide third party vendor engaged resolution,137,16,7,2,0,0,Network,5,classifier_v3
TKT-10102,license expired reported license expired department legal impact multiple users issue resolved restarting service,132,14,22,0,0,0,Software,8,classifier_v3
TKT-10103,azure storage quota exceeded reported azure storage quota exceeded department engineering impact department wide issue error provided training,164,18,18,1,0,1,Cloud,1,classifier_v3
TKT-10104,cannot install software reported cannot install software department impact single credentials reset access restored,144,14,15,6,1,1,Software,8,classifier_v3
TKT-10105,cannot find printer network reported cannot find printer network department impact single third party vendor engaged resolution,157,17,14,0,0,1,Printing,6,classifier_v3
TKT-10106,gcp billing alert reported gcp billing alert department finance impact multiple users,97,12,6,1,0,0,Cloud,1,classifier_v3
TKT-10107,slow network speed reported slow network speed department hr impact multiple users third party vendor engaged resolution,136,17,9,3,0,1,Network,5,classifier_v3
TKT-10108,paper jammed reported paper jammed department finance impact single hardware replaced under warranty,117,13,23,3,0,0,Printing,6,classifier_v3
TKT-10109,cannot access shared drive reported cannot access shared drive department legal impact department wide escalated l2 support further investigation,164,19,9,1,0,1,Network,5,classifier_v3
TKT-10110,cannot find printer network reported cannot find printer network department hr impact department wide configuration updated verified working,162,18,1,6,1,0,Printing,6,classifier_v3
TKT-10111,error code 0x80070057 reported error code 0x80070057 department engineering impact department wide,110,12,20,1,0,0,Software,8,classifier_v3
TKT-10112,cannot connect database reported cannot connect database department sales impact company wide,111,12,15,0,0,1,Database,2,classifier_v3
TKT-10113,new employee onboarding reported new employee onboarding department operations impact company wide,110,12,4,0,0,0,Access Management,0,classifier_v3
TKT-10114,vpn slow performance reported vpn slow performance department engineering impact department wide,108,12,16,4,0,1,VPN,9,classifier_v3
TKT-10115,possible malware detected reported possible malware detected department sales impact department wide workaround provided while permanent fix pending,163,18,11,6,1,1,Security,7,classifier_v3
TKT-10116,slow network speed reported slow network speed department legal impact department wide configuration updated verified working,141,16,9,4,0,1,Network,5,classifier_v3
TKT-10117,print quality poor reported print quality poor department impact multiple users,94,11,12,4,0,1,Printing,6,classifier_v3
TKT-10118,cannot connect database reported cannot connect database department legal impact multiple users,113,12,11,5,1,1,Database,2,classifier_v3
TKT-10119,slow network speed reported slow network speed department hr impact company wide escalated l2 support further investigation,142,17,3,6,1,0,Network,5,classifier_v3
TKT-10120,application crashes startup reported application crashes startup department legal impact company wide network settings reconfigured,149,15,20,1,0,0,Software,8,classifier_v3
TKT-10121,suspicious email received reported suspicious email received department finance impact department wide escalated l2 support further investigation,164,17,13,5,1,1,Security,7,classifier_v3
TKT-10122,cannot find printer network reported cannot find printer network department hr impact multiple users issue error provided training,158,18,3,3,0,0,Printing,6,classifier_v3
TKT-10123,account locked out reported account locked out department impact single credentials reset access restored,134,14,10,2,0,1,Security,7,classifier_v3
TKT-10124,vpn timeout issues reported vpn timeout issues department operations impact multiple users issue error provided training,142,16,9,2,0,1,VPN,9,classifier_v3
TKT-10125,cannot connect database reported cannot connect database department impact company wide,108,11,5,0,0,0,Database,2,classifier_v3
TKT-10126,spam filter too aggressive reported spam filter too aggressive department engineering impact department wide network settings reconfigured,150,17,1,2,0,0,Email,3,classifier_v3
TKT-10127,data corruption detected reported data corruption detected department finance impact multiple users escalated l2 support further investigation,161,17,2,4,0,0,Database,2,classifier_v3
TKT-10128,laptop turning reported laptop turning department operations impact company wide issue resolved restarting service,147,14,7,5,1,0,Hardware,4,classifier_v3
TKT-10129,sso working reported sso working department finance impact department wide,94,10,8,3,0,1,Access Management,0,classifier_v3
TKT-10130,slow network speed reported slow network speed department finance impact company wide credentials reset access restored,140,16,16,1,0,1,Network,5,classifier_v3
TKT-10131,paper jammed reported paper jammed department engineering impact single,88,9,12,0,0,1,Printing,6,classifier_v3
TKT-10132,sso working reported sso working department hr impact department wide,89,10,17,1,0,1,Access Management,0,classifier_v3
TKT-10133,access system needed reported access system needed department finance impact department wide third party vendor engaged resolution,152,17,1,6,1,0,Access Management,0,classifier_v3
TKT-10134,docker container crash reported docker container crash department finance impact multiple users,107,12,12,6,1,1,Cloud,1,classifier_v3
TKT-10135,gcp billing alert reported gcp billing alert department hr impact multiple users configuration updated verified working,135,16,12,0,0,1,Cloud,1,classifier_v3
TKT-10136,cannot connect internet reported cannot connect internet department sales impact company wide issue error provided training,151,16,7,4,0,0,Network,5,classifier_v3
TKT-10137,paper jammed reported paper jammed department legal impact multiple users configuration updated verified working,128,14,4,1,0,0,Printing,6,classifier_v3
TKT-10138,outlook syncing reported outlook syncing department engineering impact single network settings reconfigured,132,12,18,1,0,1,Email,3,classifier_v3
TKT-10139,application crashes startup reported application crashes startup department hr impact multiple users hardware replaced under warranty,151,16,6,2,0,0,Software,8,classifier_v3
TKT-10140,vpn working reported vpn working department hr impact multiple users,88,10,6,5,1,0,Network,5,classifier_v3
TKT-10141,mouse responding reported mouse responding department legal impact department wide third party vendor engaged resolution,144,15,15,1,0,1,Hardware,4,classifier_v3
TKT-10142,cannot send large attachments reported cannot send large attachments department impact department wide configuration updated verified working,160,17,22,1,0,0,Email,3,classifier_v3
TKT-10143,slow network speed reported slow network speed department operations impact company wide,100,12,10,1,0,1,Network,5,classifier_v3
TKT-10144,docker container crash reported docker container crash department engineering impact company wide hardware replaced under warranty,142,16,14,1,0,1,Cloud,1,classifier_v3
TKT-10145,spam filter too aggressive reported spam filter too aggressive department sales impact multiple users hardware replaced under warranty,146,18,1,4,0,0,Email,3,classifier_v3
TKT-10146,docker container crash reported docker container crash department finance impact multiple users network settings reconfigured,137,15,23,6,1,0,Cloud,1,classifier_v3
TKT-10147,docker container crash reported docker container crash department engineering impact single credentials reset access restored,151,15,17,6,1,1,Cloud,1,classifier_v3
TKT-10148,two factor auth working reported two factor auth working department operations impact company wide,118,14,22,0,0,0,VPN,9,classifier_v3
TKT-10149,driver installation failed reported driver installation failed department sales impact company wide,111,12,16,4,0,1,Printing,6,classifier_v3
TKT-10150,driver installation failed reported driver installation failed department legal impact multiple users escalated l2 support further investigation,163,17,9,5,1,1,Printing,6,classifier_v3
TKT-10151,license expired reported license expired department impact company wide software reinstalled patched latest version,137,14,6,3,0,0,Software,8,classifier_v3
TKT-10152,aws instance responding reported aws instance responding department sales impact multiple users third party vendor engaged resolution,157,17,22,6,1,0,Cloud,1,classifier_v3
TKT-10153,calendar invites working reported calendar invites working department impact multiple users escalated l2 support further investigation,164,16,16,0,0,1,Email,3,classifier_v3
TKT-10154,unauthorized access attempt reported unauthorized access attempt department sales impact company wide software reinstalled patched latest version,164,17,12,3,0,1,Security,7,classifier_v3
TKT-10155,monitor flickering reported monitor flickering department sales impact company wide,95,10,6,4,0,0,Hardware,4,classifier_v3
TKT-10156,print quality poor reported print quality poor department legal impact department wide,98,12,0,3,0,0,Printing,6,classifier_v3
TKT-10157,remote access denied reported remote access denied department sales impact single hardware replaced under warranty,131,15,19,5,1,0,VPN,9,classifier_v3
TKT-10158,vpn slow performance reported vpn slow performance department legal impact company wide,99,12,18,3,0,1,VPN,9,classifier_v3
TKT-10159,split tunnel configuration reported split tunnel configuration department legal impact company wide,111,12,17,3,0,1,VPN,9,classifier_v3
TKT-10160,role change request reported role change request department legal impact single hardware replaced under warranty,129,15,10,6,1,1,Access Management,0,classifier_v3
TKT-10161,azure storage quota exceeded reported azure storage quota exceeded department operations impact company wide,120,14,5,6,1,0,Cloud,1,classifier_v3
TKT-10162,database backup failed reported database backup failed department legal impact single,102,11,4,2,0,0,Database,2,classifier_v3
TKT-10163,gcp billing alert reported gcp billing alert department impact single,89,10,8,2,0,1,Cloud,1,classifier_v3
TKT-10164,wifi drops frequently reported wifi drops frequently department impact department wide configuration updated verified working,144,15,3,2,0,0,Network,5,classifier_v3
