ticket_id,subject,body,language,category,priority,status,created_at,tenant_id
ML-20000,Systeem down,Ticket submitted in nl. Category: Security. Priority escalated by user.,nl,Security,High,In Progress,2023-04-26 21:00:37,tenant_globex
ML-20001,Scherm kapot,Ticket submitted in nl. Category: Cloud. Priority escalated by user.,nl,Cloud,Critical,Resolved,2023-09-08 21:47:54,tenant_initech
ML-20002,Need software access,Ticket submitted in en. Category: Printing. Priority escalated by user.,en,Printing,Critical,Closed,2023-07-31 10:59:08,tenant_acme
ML-20003,No puedo iniciar sesión,Ticket submitted in es. Category: Network. Priority escalated by user.,es,Network,Low,Open,2023-06-11 10:37:39,tenant_initech
ML-20004,Preciso de acesso ao software,Ticket submitted in pt. Category: Cloud. Priority escalated by user.,pt,Cloud,Critical,Escalated,2024-02-26 18:34:14,tenant_acme
ML-20005,Necesito acceso al software,Ticket submitted in es. Category: Cloud. Priority escalated by user.,es,Cloud,High,Closed,2023-07-29 12:02:51,tenant_initech
ML-20006,Restablecer contraseña,Ticket submitted in es. Category: Cloud. Priority escalated by user.,es,Cloud,Critical,Closed,2023-09-03 08:52:49,tenant_globex
ML-20007,Bildschirm defekt,Ticket submitted in de. Category: Database. Priority escalated by user.,de,Database,Medium,Escalated,2023-09-26 15:49:16,tenant_initech
ML-20008,Wachtwoord resetten,Ticket submitted in nl. Category: Email. Priority escalated by user.,nl,Email,Critical,Open,2023-08-23 03:20:03,tenant_acme
ML-20009,Screen broken,Ticket submitted in en. Category: Security. Priority escalated by user.,en,Security,Critical,Closed,2024-06-10 02:55:39,tenant_acme
ML-20010,Toegang tot software nodig,Ticket submitted in nl. Category: Software. Priority escalated by user.,nl,Software,Critical,In Progress,2023-06-09 01:40:27,tenant_globex
ML-20011,Redefinir senha,Ticket submitted in pt. Category: Email. Priority escalated by user.,pt,Email,Low,Resolved,2023-08-20 20:24:28,tenant_globex
ML-20012,Kann mich nicht anmelden,Ticket submitted in de. Category: Printing. Priority escalated by user.,de,Printing,High,Closed,2023-03-23 13:52:52,tenant_globex
ML-20013,Bildschirm defekt,Ticket submitted in de. Category: Cloud. Priority escalated by user.,de,Cloud,High,Escalated,2023-08-13 09:20:48,tenant_acme
ML-20014,Bildschirm defekt,Ticket submitted in de. Category: Security. Priority escalated by user.,de,Security,Low,Escalated,2023-10-01 19:11:00,tenant_globex
ML-20015,Passwort zurücksetzen,Ticket submitted in de. Category: Cloud. Priority escalated by user.,de,Cloud,High,Escalated,2023-05-01 02:37:00,tenant_acme
ML-20016,Não consigo fazer login,Ticket submitted in pt. Category: Software. Priority escalated by user.,pt,Software,Critical,Escalated,2023-04-27 02:39:39,tenant_acme
ML-20017,Não consigo fazer login,Ticket submitted in pt. Category: Security. Priority escalated by user.,pt,Security,Medium,Resolved,2023-04-24 13:41:52,tenant_initech
