ticket_id,category_encoded,priority_numeric,text_length,word_count,hour_of_day,day_of_week,is_weekend,is_business_hours,resolution_hours,sla_target_hours,sla_risk
TKT-10000,4,1,97,8,14,2,0,1,39.0,72,0
TKT-10001,7,1,142,15,16,1,0,1,44.0,72,0
TKT-10002,5,1,146,16,12,2,0,1,34.0,72,0
TKT-10003,2,3,112,11,18,2,0,1,39.0,8,1
TKT-10004,2,2,162,17,13,1,0,1,22.0,24,0
TKT-10005,2,3,153,17,13,1,0,1,15.0,8,1
TKT-10006,3,2,135,15,8,6,1,1,41.0,24,1
TKT-10007,9,4,140,16,13,0,0,1,5.0,2,1
TKT-10008,4,1,98,9,20,6,1,0,39.0,72,0
TKT-10009,0,4,159,15,12,2,0,1,5.0,2,1
TKT-10010,0,2,85,8,17,2,0,1,39.0,24,1
TKT-10011,6,2,92,11,13,1,0,1,39.0,24,1
TKT-10012,3,1,113,14,20,6,1,0,39.0,72,0
TKT-10013,4,2,122,12,4,2,0,0,11.0,24,0
TKT-10014,7,3,111,12,20,0,0,0,41.0,8,1
TKT-10015,4,1,134,13,14,4,0,1,55.0,72,0
TKT-10016,1,2,162,18,7,2,0,0,37.0,24,1
TKT-10017,4,1,137,14,0,6,1,0,93.0,72,1
TKT-10018,0,1,137,15,7,6,1,0,57.0,72,0
TKT-10019,2,2,141,15,4,6,1,0,15.0,24,0
TKT-10020,5,2,137,16,4,1,0,0,43.0,24,1
TKT-10021,4,3,77,9,1,1,0,0,39.0,8,1
TKT-10022,1,2,133,15,10,1,0,1,9.0,24,0
TKT-10023,4,1,83,10,20,5,1,0,39.0,72,0
TKT-10024,2,2,100,12,5,1,0,0,39.0,24,1
TKT-10025,5,1,145,16,20,4,0,0,101.0,72,1
TKT-10026,2,1,106,12,16,6,1,1,39.0,72,0
TKT-10027,8,3,121,12,18,4,0,1,38.0,8,1
TKT-10028,6,2,86,10,13,4,0,1,39.0,24,1
TKT-10029,2,2,136,15,1,0,0,0,16.0,24,0
TKT-10030,7,4,147,14,12,0,0,1,7.0,2,1
TKT-10031,3,2,155,15,13,0,0,1,18.0,24,0
TKT-10032,5,2,147,17,11,6,1,1,32.0,24,1
TKT-10033,5,1,116,11,1,2,0,0,39.0,72,0
TKT-10034,0,3,91,10,23,3,0,0,39.0,8,1
TKT-10035,2,3,163,17,0,2,0,0,19.0,8,1
TKT-10036,1,2,159,17,19,5,1,0,25.0,24,1
TKT-10037,9,2,99,12,1,4,0,0,40.0,24,1
TKT-10038,4,2,129,12,16,6,1,1,38.0,24,1
TKT-10039,6,4,174,19,11,0,0,1,5.0,2,1
TKT-10040,9,4,162,18,22,1,0,0,5.0,2,1
TKT-10041,2,3,137,16,10,4,0,1,11.0,8,1
TKT-10042,4,2,96,9,21,4,0,0,39.0,24,1
TKT-10043,2,2,155,17,1,3,0,0,14.0,24,0
