ticket_id,created_at,category,priority,resolved,resolution_hours
TS-30000,2022-01-01 00:00:00,Hardware,Low,False,17
TS-30001,2022-01-01 00:48:00,Hardware,Medium,True,8
TS-30002,2022-01-01 01:36:00,Printing,Medium,True,50
TS-30003,2022-01-01 02:24:00,Email,Low,False,30
TS-30004,2022-01-01 03:12:00,Software,Medium,True,75
TS-30005,2022-01-01 04:00:00,Printing,Low,False,71
TS-30006,2022-01-01 04:48:00,Network,High,True,42
TS-30007,2022-01-01 05:36:00,Printing,High,False,14
TS-30008,2022-01-01 06:24:00,Database,Low,True,78
TS-30009,2022-01-01 07:12:00,Email,Medium,True,93
TS-30010,2022-01-01 08:00:00,Cloud,Critical,True,84
TS-30011,2022-01-01 08:48:00,Email,High,True,58
TS-30012,2022-01-01 09:36:00,Access Management,Low,True,91
TS-30013,2022-01-01 10:24:00,Network,Medium,True,74
TS-30014,2022-01-01 11:12:00,Database,High,False,89
TS-30015,2022-01-01 12:00:00,Hardware,Low,True,27
TS-30016,2022-01-01 12:48:00,Email,Medium,True,67
TS-30017,2022-01-01 13:36:00,VPN,Medium,True,90
TS-30018,2022-01-01 14:24:00,Database,Critical,True,52
TS-30019,2022-01-01 15:12:00,Database,Low,False,43
TS-30020,2022-01-01 16:00:00,Cloud,Low,True,12
TS-30021,2022-01-01 16:48:00,Email,Medium,True,26
TS-30022,2022-01-01 17:36:00,Access Management,Medium,True,64
TS-30023,2022-01-01 18:24:00,Database,Medium,True,2
TS-30024,2022-01-01 19:12:00,Cloud,High,True,86
TS-30025,2022-01-01 20:00:00,Hardware,Low,True,76
TS-30026,2022-01-01 20:48:00,Software,Medium,False,71
TS-30027,2022-01-01 21:36:00,Email,Medium,True,1
TS-30028,2022-01-01 22:24:00,Network,Low,True,73
TS-30029,2022-01-01 23:12:00,Email,Critical,True,39
TS-30030,2022-01-02 00:00:00,Network,Critical,False,30
TS-30031,2022-01-02 00:48:00,Email,Medium,False,86
TS-30032,2022-01-02 01:36:00,Hardware,Low,False,25
TS-30033,2022-01-02 02:24:00,Hardware,Low,True,4
TS-30034,2022-01-02 03:12:00,Database,Low,True,78
TS-30035,2022-01-02 04:00:00,Printing,Medium,False,7
TS-30036,2022-01-02 04:48:00,Network,Medium,True,13
TS-30037,2022-01-02 05:36:00,Printing,Low,True,44
