ticket_id,subject,description,category,priority,status,created_at,updated_at,resolved_at,resolution_hours,assigned_agent,department,resolution_notes,satisfaction_score,first_response_hours,escalated,sla_breached,tenant_id
TKT-10000,Printer jam,User reported: Printer jam. Department: Operations. Impact: Single user.,Hardware,Low,Resolved,2024-02-06 12:20:05,2024-02-06 13:20:05,2024-02-10 09:20:05,93,Bob Martinez,Engineering,Configuration updated and verified working.,5,4,False,False,tenant_initech
TKT-10001,Data corruption detected,User reported: Data corruption detected. Department: Finance. Impact: Company-wide.,Database,Medium,In Progress,2023-04-18 08:11:38,2023-04-18 19:11:38,,,Emma Brown,Legal,,,2,False,False,tenant_acme
TKT-10002,Access denied to table,User reported: Access denied to table. Department: HR. Impact: Multiple users.,Database,Medium,Resolved,2024-06-19 07:04:31,2024-06-19 17:04:31,2024-06-20 09:04:31,26,Bob Martinez,Operations,Configuration updated and verified working.,5,8,False,False,tenant_initech
TKT-10003,Cannot find printer on network,User reported: Cannot find printer on network. Department: Engineering. Impact: Single user.,Printing,Medium,Resolved,2023-12-08 02:35:38,2023-12-08 13:35:38,2023-12-09 18:35:38,40,Bob Martinez,Operations,Issue resolved by restarting the service.,5,2,True,True,tenant_globex
TKT-10004,Role change request,User reported: Role change request. Department: IT. Impact: Multiple users.,Access Management,High,Resolved,2023-09-19 02:35:30,2023-09-19 09:35:30,2023-09-19 07:35:30,5,Bob Martinez,Sales,Network settings reconfigured.,5,1,False,False,tenant_globex
TKT-10005,Cannot connect to internet,User reported: Cannot connect to internet. Department: Sales. Impact: Multiple users.,Network,High,Resolved,2023-07-07 00:18:13,2023-07-07 11:18:13,2023-07-07 07:18:13,7,David Lee,Legal,Software reinstalled and patched to latest version.,3,3,False,False,tenant_acme
TKT-10006,Remote access denied,User reported: Remote access denied. Department: Legal. Impact: Company-wide.,VPN,Low,In Progress,2023-07-09 21:52:11,2023-07-10 06:52:11,,,Emma Brown,HR,,,6,False,True,tenant_globex
TKT-10007,Paper jammed,User reported: Paper jammed. Department: Finance. Impact: Single user.,Printing,High,Resolved,2024-04-27 05:55:58,2024-04-27 12:55:58,2024-04-27 07:55:58,2,Carol White,Finance,Escalated to L2 support for further investigation.,1,8,True,False,tenant_acme
TKT-10008,Cannot access shared drive,User reported: Cannot access shared drive. Department: IT. Impact: Company-wide.,Network,Medium,Escalated,2023-07-09 09:09:09,2023-07-09 17:09:09,,,David Lee,Finance,,,8,False,False,tenant_initech
TKT-10009,Azure storage quota exceeded,User reported: Azure storage quota exceeded. Department: Engineering. Impact: Company-wide.,Cloud,Low,Closed,2023-12-06 13:00:41,2023-12-06 19:00:41,2023-12-09 10:00:41,69,Carol White,Sales,Workaround provided while permanent fix is pending.,3,5,True,False,tenant_initech
