ticket_id,text_clean,language,category,category_encoded
ML-20000,systeem down systeem down ticket submitted nl category security priority escalated,nl,Security,7
ML-20001,scherm kapot scherm kapot ticket submitted nl category cloud priority escalated,nl,Cloud,1
ML-20003,no puedo iniciar sesi no puedo iniciar sesi ticket submitted es category network priority escalated,es,Network,5
ML-20004,preciso de acesso ao software preciso de acesso ao software ticket submitted pt category cloud priority escalated,pt,Cloud,1
ML-20005,necesito acceso al software necesito acceso al software ticket submitted es category cloud priority escalated,es,Cloud,1
ML-20006,restablecer contrase restablecer contrase ticket submitted es category cloud priority escalated,es,Cloud,1
ML-20007,bildschirm defekt bildschirm defekt ticket submitted de category database priority escalated,de,Database,2
ML-20008,wachtwoord resetten wachtwoord resetten ticket submitted nl category email priority escalated,nl,Email,3
ML-20010,toegang tot software nodig toegang tot software nodig ticket submitted nl category software priority escalated,nl,Software,8
ML-20011,redefinir senha redefinir senha ticket submitted pt category email priority escalated,pt,Email,3
ML-20012,kann mich nicht anmelden kann mich nicht anmelden ticket submitted de category printing priority escalated,de,Printing,6
ML-20013,bildschirm defekt bildschirm defekt ticket submitted de category cloud priority escalated,de,Cloud,1
ML-20014,bildschirm defekt bildschirm defekt ticket submitted de category security priority escalated,de,Security,7
ML-20015,passwort zur cksetzen passwort zur cksetzen ticket submitted de category cloud priority escalated,de,Cloud,1
ML-20016,consigo fazer login consigo fazer login ticket submitted pt category software priority escalated,pt,Software,8
ML-20017,consigo fazer login consigo fazer login ticket submitted pt category security priority escalated,pt,Security,7
ML-20018,consigo fazer login consigo fazer login ticket submitted pt category network priority escalated,pt,Network,5
ML-20021,initialiser le mot de passe initialiser le mot de passe ticket submitted fr category vpn priority escalated,fr,VPN,9
ML-20024,consigo fazer login consigo fazer login ticket submitted pt category network priority escalated,pt,Network,5
ML-20025,kann mich nicht anmelden kann mich nicht anmelden ticket submitted de category network priority escalated,de,Network,5
ML-20026,impossible de se connecter impossible de se connecter ticket submitted fr category cloud priority escalated,fr,Cloud,1
ML-20027,restablecer contrase restablecer contrase ticket submitted es category cloud priority escalated,es,Cloud,1
ML-20028,besoin acc logiciel besoin acc logiciel ticket submitted fr category printing priority escalated,fr,Printing,6
ML-20029,scherm kapot scherm kapot ticket submitted nl category printing priority escalated,nl,Printing,6
ML-20030,software zugriff ben tigt software zugriff ben tigt ticket submitted de category software priority escalated,de,Software,8
ML-20031,besoin acc logiciel besoin acc logiciel ticket submitted fr category network priority escalated,fr,Network,5
ML-20032,syst me en panne syst me en panne ticket submitted fr category database priority escalated,fr,Database,2
ML-20033,wachtwoord resetten wachtwoord resetten ticket submitted nl category cloud priority escalated,nl,Cloud,1
ML-20034,redefinir senha redefinir senha ticket submitted pt category cloud priority escalated,pt,Cloud,1
ML-20035,bildschirm defekt bildschirm defekt ticket submitted de category printing priority escalated,de,Printing,6
ML-20037,scherm kapot scherm kapot ticket submitted nl category printing priority escalated,nl,Printing,6
ML-20038,restablecer contrase restablecer contrase ticket submitted es category email priority escalated,es,Email,3
ML-20039,kann mich nicht anmelden kann mich nicht anmelden ticket submitted de category hardware priority escalated,de,Hardware,4
ML-20040,bildschirm defekt bildschirm defekt ticket submitted de category database priority escalated,de,Database,2
ML-20041,syst me en panne syst me en panne ticket submitted fr category cloud priority escalated,fr,Cloud,1
ML-20042,kann mich nicht anmelden kann mich nicht anmelden ticket submitted de category access management priority escalated,de,Access Management,0
ML-20043,necesito acceso al software necesito acceso al software ticket submitted es category printing priority escalated,es,Printing,6
ML-20044,consigo fazer login consigo fazer login ticket submitted pt category vpn priority escalated,pt,VPN,9
ML-20045,toegang tot software nodig toegang tot software nodig ticket submitted nl category security priority escalated,nl,Security,7
ML-20046,redefinir senha redefinir senha ticket submitted pt category vpn priority escalated,pt,VPN,9
ML-20047,sistema fora ar sistema fora ar ticket submitted pt category cloud priority escalated,pt,Cloud,1
ML-20048,software zugriff ben tigt software zugriff ben tigt ticket submitted de category printing priority escalated,de,Printing,6
ML-20049,preciso de acesso ao software preciso de acesso ao software ticket submitted pt category access management priority escalated,pt,Access Management,0
ML-20051,scherm kapot scherm kapot ticket submitted nl category email priority escalated,nl,Email,3
ML-20052,impossible de se connecter impossible de se connecter ticket submitted fr category database priority escalated,fr,Database,2
ML-20053,passwort zur cksetzen passwort zur cksetzen ticket submitted de category security priority escalated,de,Security,7
ML-20054,system ausgefallen system ausgefallen ticket submitted de category hardware priority escalated,de,Hardware,4
