ticket_id,subject,description,category,priority,status,created_at,updated_at,resolved_at,resolution_hours,assigned_agent,department,resolution_notes,satisfaction_score,first_response_hours,escalated,sla_breached,tenant_id
TKT-10000,Laptop not turning on,User reported: Laptop not turning on. Department: IT. Impact: Single user.,Hardware,Low,In Progress,2023-08-02 14:55:05,2023-08-02 16:55:05,,,Bob Martinez,HR,,,1,False,False,tenant_globex
TKT-10001,Unauthorized access attempt,User reported: Unauthorized access attempt. Department: HR. Impact: Multiple users.,Security,Low,Closed,2024-04-02 16:42:30,2024-04-02 22:42:30,2024-04-04 12:42:30,44,Alice Johnson,IT,Network settings reconfigured.,1,6,False,False,tenant_globex
TKT-10002,WiFi drops frequently,User reported: WiFi drops frequently. Department: Sales. Impact: Multiple users.,Network,Low,Closed,2024-02-21 12:00:58,2024-02-22 00:00:58,2024-02-22 22:00:58,34,Alice Johnson,IT,User credentials reset and access restored.,3,2,False,True,tenant_globex
TKT-10003,Data corruption detected,User reported: Data corruption detected. Department: Engineering. Impact: Single user.,Database,High,In Progress,2024-05-08 18:01:00,2024-05-09 04:01:00,,,Frank Davis,HR,,,4,False,False,tenant_globex
TKT-10004,Access denied to table,User reported: Access denied to table. Department: Operations. Impact: Department-wide.,Database,Medium,Closed,2023-06-20 13:55:24,2023-06-20 15:55:24,2023-06-21 11:55:24,22,Bob Martinez,Sales,Software reinstalled and patched to latest version.,2,8,False,False,tenant_acme
TKT-10005,Query running slowly,User reported: Query running slowly. Department: Finance. Impact: Multiple users.,Database,High,Resolved,2023-07-11 13:28:11,2023-07-11 16:28:11,2023-07-12 04:28:11,15,Emma Brown,Operations,Escalated to L2 support for further investigation.,1,2,False,False,tenant_initech
TKT-10006,Email bouncing back,User reported: Email bouncing back. Department: Engineering. Impact: Single user.,Email,Medium,Resolved,2023-02-19 08:14:32,2023-02-19 19:14:32,2023-02-21 01:14:32,41,Emma Brown,Legal,Hardware replaced under warranty.,3,2,False,False,tenant_acme
TKT-10007,VPN timeout issues,User reported: VPN timeout issues. Department: Legal. Impact: Multiple users.,VPN,Critical,Resolved,2023-07-24 13:55:39,2023-07-24 16:55:39,2023-07-24 18:55:39,5,Carol White,Legal,Configuration updated and verified working.,5,1,False,False,tenant_acme
TKT-10008,Keyboard not working,User reported: Keyboard not working. Department: Legal. Impact: Single user.,Hardware,Low,In Progress,2023-08-27 20:28:43,2023-08-28 05:28:43,,,Bob Martinez,HR,,,8,False,False,tenant_initech
TKT-10009,Offboarding checklist,User reported: Offboarding checklist. Department: Operations. Impact: Department-wide.,Access Management,Critical,Resolved,2023-06-14 12:12:16,2023-06-14 20:12:16,2023-06-14 17:12:16,5,Emma Brown,Operations,Escalated to L2 support for further investigation.,2,4,True,False,tenant_acme
TKT-10010,SSO not working,User reported: SSO not working. Department: IT. Impact: Single user.,Access Management,Medium,Open,2023-06-28 17:38:58,2023-06-28 23:38:58,,,,IT,,,4,False,False,tenant_acme
TKT-10011,Print quality poor,User reported: Print quality poor. Department: IT. Impact: Company-wide.,Printing,Medium,In Progress,2024-03-19 13:00:53,2024-03-19 19:00:53,,,David Lee,Operations,,,8,True,True,tenant_acme
TKT-10012,Spam filter too aggressive,User reported: Spam filter too aggressive. Department: Finance. Impact: Company-wide.,Email,Low,In Progress,2023-03-26 20:55:20,2023-03-27 00:55:20,,,Alice Johnson,Operations,,,2,True,False,tenant_acme
TKT-10013,Monitor flickering,User reported: Monitor flickering. Department: IT. Impact: Company-wide.,Hardware,Medium,Resolved,2023-05-10 04:15:49,2023-05-10 09:15:49,2023-05-10 15:15:49,11,David Lee,Finance,Network settings reconfigured.,5,8,False,False,tenant_globex
TKT-10014,Suspicious email received,User reported: Suspicious email received. Department: Sales. Impact: Multiple users.,Security,High,Open,2024-03-25 20:42:11,2024-03-25 21:42:11,,,,Sales,,,2,False,True,tenant_initech
TKT-10015,Monitor flickering,User reported: Monitor flickering. Department: Sales. Impact: Single user.,Hardware,Low,Closed,2023-11-10 14:55:18,2023-11-10 21:55:18,2023-11-12 21:55:18,55,Frank Davis,Sales,"Issue was user error, provided training.",5,6,False,False,tenant_initech
TKT-10016,Azure storage quota exceeded,User reported: Azure storage quota exceeded. Department: IT. Impact: Company-wide.,Cloud,Medium,Resolved,2023-07-26 07:24:48,2023-07-26 17:24:48,2023-07-27 20:24:48,37,Emma Brown,IT,Escalated to L2 support for further investigation.,5,4,False,False,tenant_globex
TKT-10017,Monitor flickering,User reported: Monitor flickering. Department: Engineering. Impact: Department-wide.,Hardware,Low,Resolved,2023-10-15 00:29:03,2023-10-15 11:29:03,2023-10-18 21:29:03,93,Alice Johnson,HR,Hardware replaced under warranty.,1,2,False,False,tenant_globex
TKT-10018,Access to system needed,User reported: Access to system needed. Department: Legal. Impact: Single user.,Access Management,Low,Resolved,2023-09-24 07:45:06,2023-09-24 09:45:06,2023-09-26 16:45:06,57,Frank Davis,Operations,Hardware replaced under warranty.,1,1,False,False,tenant_initech
TKT-10019,Query running slowly,User reported: Query running slowly. Department: Sales. Impact: Single user.,Database,Medium,Resolved,2023-12-10 04:24:39,2023-12-10 10:24:39,2023-12-10 19:24:39,15,Emma Brown,Sales,Configuration updated and verified working.,4,3,True,False,tenant_globex
TKT-10020,Slow network speed,User reported: Slow network speed. Department: HR. Impact: Multiple users.,Network,Medium,Resolved,2023-06-13 04:06:37,2023-06-13 07:06:37,2023-06-14 23:06:37,43,David Lee,IT,Configuration updated and verified working.,3,7,False,False,tenant_acme
TKT-10021,Printer jam,User reported: Printer jam. Department: HR. Impact: Single user.,Hardware,High,In Progress,2023-01-31 01:52:44,2023-01-31 12:52:44,,,Bob Martinez,Operations,,,6,False,True,tenant_globex
TKT-10022,Kubernetes pod failing,User reported: Kubernetes pod failing. Department: HR. Impact: Department-wide.,Cloud,Medium,Closed,2023-11-07 10:32:42,2023-11-07 11:32:42,2023-11-07 19:32:42,9,Alice Johnson,Sales,Network settings reconfigured.,3,6,False,False,tenant_initech
TKT-10023,Printer jam,User reported: Printer jam. Department: Finance. Impact: Company-wide.,Hardware,Low,Open,2024-03-23 20:22:48,2024-03-23 22:22:48,,,,Engineering,,,6,False,True,tenant_initech
TKT-10024,Access denied to table,User reported: Access denied to table. Department: HR. Impact: Company-wide.,Database,Medium,In Progress,2023-08-29 05:29:02,2023-08-29 16:29:02,,,David Lee,Engineering,,,3,False,False,tenant_initech
TKT-10025,Slow network speed,User reported: Slow network speed. Department: Operations. Impact: Multiple users.,Network,Low,Resolved,2023-08-11 20:27:33,2023-08-12 05:27:33,2023-08-16 01:27:33,101,David Lee,Legal,Configuration updated and verified working.,1,5,False,True,tenant_acme
TKT-10026,Query running slowly,User reported: Query running slowly. Department: Operations. Impact: Multiple users.,Database,Low,Open,2023-06-04 16:03:03,2023-06-05 04:03:03,,,,Engineering,,,7,False,False,tenant_acme
TKT-10027,Application crashes on startup,User reported: Application crashes on startup. Department: Sales. Impact: Multiple users.,Software,High,In Progress,2023-03-24 18:55:52,2023-03-24 20:55:52,,,David Lee,HR,,,8,False,False,tenant_initech
TKT-10028,Paper jammed,User reported: Paper jammed. Department: Legal. Impact: Department-wide.,Printing,Medium,In Progress,2024-03-01 13:04:24,2024-03-01 22:04:24,,,David Lee,Engineering,,,4,False,False,tenant_acme
TKT-10029,Query running slowly,User reported: Query running slowly. Department: Operations. Impact: Multiple users.,Database,Medium,Closed,2023-07-31 01:08:12,2023-07-31 13:08:12,2023-07-31 17:08:12,16,Bob Martinez,IT,Network settings reconfigured.,4,6,False,False,tenant_acme
TKT-10030,Unauthorized access attempt,User reported: Unauthorized access attempt. Department: Operations. Impact: Single user.,Security,Critical,Resolved,2023-10-30 12:22:26,2023-10-30 18:22:26,2023-10-30 19:22:26,7,Carol White,Legal,Network settings reconfigured.,4,4,False,False,tenant_globex
TKT-10031,Calendar invites not working,User reported: Calendar invites not working. Department: Sales. Impact: Single user.,Email,Medium,Resolved,2023-01-23 13:03:42,2023-01-23 20:03:42,2023-01-24 07:03:42,18,Emma Brown,Sales,Issue resolved by restarting the service.,1,7,False,False,tenant_acme
TKT-10032,Slow network speed,User reported: Slow network speed. Department: Finance. Impact: Single user.,Network,Medium,Resolved,2023-10-22 11:00:29,2023-10-22 19:00:29,2023-10-23 19:00:29,32,Alice Johnson,Engineering,Workaround provided while permanent fix is pending.,1,6,False,True,tenant_initech
TKT-10033,Cannot connect to internet,User reported: Cannot connect to internet. Department: Engineering. Impact: Single user.,Network,Low,Open,2023-07-12 01:41:41,2023-07-12 11:41:41,,,,HR,,,8,False,False,tenant_acme
TKT-10034,SSO not working,User reported: SSO not working. Department: Finance. Impact: Company-wide.,Access Management,High,In Progress,2023-03-30 23:02:50,2023-03-31 06:02:50,,,Frank Davis,HR,,,2,False,True,tenant_initech
TKT-10035,Access denied to table,User reported: Access denied to table. Department: Engineering. Impact: Department-wide.,Database,High,Resolved,2023-04-05 00:37:47,2023-04-05 02:37:47,2023-04-05 19:37:47,19,Emma Brown,Engineering,Software reinstalled and patched to latest version.,1,7,False,True,tenant_globex
TKT-10036,Docker container crash,User reported: Docker container crash. Department: Operations. Impact: Company-wide.,Cloud,Medium,Resolved,2023-04-29 19:57:42,2023-04-30 07:57:42,2023-04-30 20:57:42,25,Emma Brown,Finance,Software reinstalled and patched to latest version.,2,2,False,False,tenant_acme
TKT-10037,VPN slow performance,User reported: VPN slow performance. Department: HR. Impact: Department-wide.,VPN,Medium,In Progress,2024-04-19 01:24:27,2024-04-19 06:24:27,,,Carol White,Finance,,,5,True,False,tenant_acme
TKT-10038,Monitor flickering,User reported: Monitor flickering. Department: Operations. Impact: Single user.,Hardware,Medium,Resolved,2023-11-12 16:22:09,2023-11-12 18:22:09,2023-11-14 06:22:09,38,Carol White,HR,Network settings reconfigured.,2,5,False,False,tenant_initech
TKT-10039,Cannot find printer on network,User reported: Cannot find printer on network. Department: Finance. Impact: Multiple users.,Printing,Critical,Resolved,2023-11-27 11:57:57,2023-11-27 13:57:57,2023-11-27 16:57:57,5,Frank Davis,HR,Software reinstalled and patched to latest version.,1,3,False,False,tenant_initech
TKT-10040,Split tunnel configuration,User reported: Split tunnel configuration. Department: HR. Impact: Department-wide.,VPN,Critical,Resolved,2024-04-02 22:41:47,2024-04-03 01:41:47,2024-04-03 03:41:47,5,Carol White,IT,Workaround provided while permanent fix is pending.,2,5,True,True,tenant_initech
TKT-10041,Query running slowly,User reported: Query running slowly. Department: Operations. Impact: Company-wide.,Database,High,Resolved,2024-05-10 10:45:07,2024-05-10 16:45:07,2024-05-10 21:45:07,11,Bob Martinez,IT,Hardware replaced under warranty.,4,2,True,False,tenant_globex
TKT-10042,Mouse not responding,User reported: Mouse not responding. Department: IT. Impact: Company-wide.,Hardware,Medium,In Progress,2024-05-03 21:43:06,2024-05-04 07:43:06,,,Emma Brown,Legal,,,4,False,False,tenant_globex
TKT-10043,Access denied to table,User reported: Access denied to table. Department: Finance. Impact: Single user.,Database,Medium,Resolved,2023-11-30 01:58:03,2023-11-30 04:58:03,2023-11-30 15:58:03,14,Bob Martinez,HR,Workaround provided while permanent fix is pending.,1,3,True,False,tenant_globex
TKT-10044,Offboarding checklist,User reported: Offboarding checklist. Department: Finance. Impact: Multiple users.,Access Management,Low,In Progress,2023-08-15 05:28:00,2023-08-15 12:28:00,,,Alice Johnson,Sales,,,4,False,False,tenant_acme
TKT-10045,Laptop not turning on,User reported: Laptop not turning on. Department: Operations. Impact: Department-wide.,Hardware,High,Resolved,2023-05-09 21:01:29,2023-05-10 09:01:29,2023-05-10 13:01:29,16,David Lee,Finance,Workaround provided while permanent fix is pending.,5,8,False,True,tenant_initech
TKT-10046,WiFi drops frequently,User reported: WiFi drops frequently. Department: Legal. Impact: Department-wide.,Network,Medium,Open,2023-09-08 08:30:35,2023-09-08 18:30:35,,,,IT,,,3,False,False,tenant_initech
TKT-10047,Split tunnel configuration,User reported: Split tunnel configuration. Department: Operations. Impact: Department-wide.,VPN,Critical,Resolved,2023-05-21 23:12:10,2023-05-22 05:12:10,2023-05-22 05:12:10,6,Frank Davis,IT,Configuration updated and verified working.,3,7,False,False,tenant_initech
TKT-10048,Email bouncing back,User reported: Email bouncing back. Department: Engineering. Impact: Company-wide.,Email,Medium,In Progress,2023-01-29 12:05:02,2023-01-29 19:05:02,,,Alice Johnson,HR,,,6,False,False,tenant_acme
TKT-10049,Possible malware detected,User reported: Possible malware detected. Department: Engineering. Impact: Multiple users.,Security,Low,In Progress,2024-03-02 14:11:46,2024-03-03 02:11:46,,,Bob Martinez,Finance,,,1,False,True,tenant_acme
TKT-10050,Printer jam,User reported: Printer jam. Department: Operations. Impact: Company-wide.,Hardware,Medium,In Progress,2023-04-02 05:43:39,2023-04-02 13:43:39,,,Bob Martinez,Operations,,,3,False,False,tenant_initech
TKT-10051,Print quality poor,User reported: Print quality poor. Department: Legal. Impact: Single user.,Printing,Low,Resolved,2023-02-24 05:21:15,2023-02-24 10:21:15,2023-02-27 10:21:15,77,Frank Davis,Finance,"Issue was user error, provided training.",5,8,False,False,tenant_initech
TKT-10052,Split tunnel configuration,User reported: Split tunnel configuration. Department: Sales. Impact: Company-wide.,VPN,Medium,Resolved,2023-09-16 05:07:47,2023-09-16 09:07:47,2023-09-17 09:07:47,28,David Lee,IT,Software reinstalled and patched to latest version.,4,7,False,False,tenant_globex
TKT-10053,VPN not working,User reported: VPN not working. Department: IT. Impact: Multiple users.,Network,Critical,In Progress,2024-01-26 03:23:08,2024-01-26 10:23:08,,,Frank Davis,HR,,,2,False,False,tenant_globex
TKT-10054,Offboarding checklist,User reported: Offboarding checklist. Department: Engineering. Impact: Company-wide.,Access Management,Low,In Progress,2024-05-19 17:49:59,2024-05-20 02:49:59,,,Alice Johnson,Sales,,,2,False,False,tenant_acme
TKT-10055,Printer jam,User reported: Printer jam. Department: IT. Impact: Single user.,Hardware,High,Resolved,2023-03-18 11:06:46,2023-03-18 17:06:46,2023-03-18 18:06:46,7,Alice Johnson,Finance,Software reinstalled and patched to latest version.,3,7,False,False,tenant_initech
TKT-10056,Email bouncing back,User reported: Email bouncing back. Department: Operations. Impact: Multiple users.,Email,High,In Progress,2024-06-13 13:40:48,2024-06-13 17:40:48,,,David Lee,Engineering,,,5,False,False,tenant_initech
TKT-10057,WiFi drops frequently,User reported: WiFi drops frequently. Department: Engineering. Impact: Company-wide.,Network,Medium,In Progress,2023-08-12 09:50:34,2023-08-12 21:50:34,,,Carol White,Operations,,,5,False,False,tenant_globex
TKT-10058,Monitor flickering,User reported: Monitor flickering. Department: Finance. Impact: Single user.,Hardware,Medium,Resolved,2023-10-24 05:08:44,2023-10-24 15:08:44,2023-10-25 07:08:44,26,Frank Davis,Legal,Issue resolved by restarting the service.,5,8,False,False,tenant_initech
TKT-10059,Azure storage quota exceeded,User reported: Azure storage quota exceeded. Department: Engineering. Impact: Single user.,Cloud,Low,In Progress,2024-05-09 11:25:02,2024-05-09 16:25:02,,,David Lee,IT,,,6,False,True,tenant_globex
TKT-10060,Docker container crash,User reported: Docker container crash. Department: Legal. Impact: Multiple users.,Cloud,Low,Resolved,2023-05-17 10:10:05,2023-05-17 15:10:05,2023-05-20 08:10:05,70,David Lee,Legal,Hardware replaced under warranty.,3,2,False,True,tenant_acme
TKT-10061,Unauthorized access attempt,User reported: Unauthorized access attempt. Department: Operations. Impact: Department-wide.,Security,Medium,Resolved,2024-03-08 21:03:36,2024-03-09 08:03:36,2024-03-09 21:03:36,24,Frank Davis,Engineering,Hardware replaced under warranty.,5,7,False,True,tenant_initech
TKT-10062,Unauthorized access attempt,User reported: Unauthorized access attempt. Department: Engineering. Impact: Company-wide.,Security,Medium,Closed,2023-01-20 10:29:35,2023-01-20 22:29:35,2023-01-22 09:29:35,47,Carol White,Engineering,Network settings reconfigured.,1,3,True,True,tenant_globex
TKT-10063,VPN timeout issues,User reported: VPN timeout issues. Department: Sales. Impact: Multiple users.,VPN,Low,Resolved,2023-03-17 11:47:24,2023-03-17 18:47:24,2023-03-20 12:47:24,73,Frank Davis,IT,Third-party vendor engaged for resolution.,5,7,False,True,tenant_initech
TKT-10064,Azure storage quota exceeded,User reported: Azure storage quota exceeded. Department: Sales. Impact: Department-wide.,Cloud,Medium,In Progress,2023-12-11 09:15:35,2023-12-11 10:15:35,,,David Lee,Finance,,,4,True,False,tenant_acme
TKT-10065,Password reset required,User reported: Password reset required. Department: Legal. Impact: Multiple users.,Security,Low,In Progress,2023-01-17 14:07:54,2023-01-18 00:07:54,,,Bob Martinez,Legal,,,4,False,False,tenant_initech
TKT-10066,Slow network speed,User reported: Slow network speed. Department: HR. Impact: Single user.,Network,Critical,Resolved,2023-04-23 09:10:45,2023-04-23 15:10:45,2023-04-23 10:10:45,1,Bob Martinez,Sales,Software reinstalled and patched to latest version.,1,3,False,True,tenant_acme
TKT-10067,Email bouncing back,User reported: Email bouncing back. Department: Operations. Impact: Multiple users.,Email,High,Resolved,2023-03-30 06:34:35,2023-03-30 16:34:35,2023-03-31 02:34:35,20,Alice Johnson,Engineering,Workaround provided while permanent fix is pending.,3,8,True,True,tenant_globex
TKT-10068,Calendar invites not working,User reported: Calendar invites not working. Department: Sales. Impact: Multiple users.,Email,Low,Resolved,2024-06-16 21:47:03,2024-06-16 23:47:03,2024-06-20 05:47:03,80,Bob Martinez,Finance,"Issue was user error, provided training.",5,6,False,False,tenant_initech
TKT-10069,Data corruption detected,User reported: Data corruption detected. Department: Operations. Impact: Company-wide.,Database,Medium,Open,2024-01-28 16:09:18,2024-01-28 20:09:18,,,,Operations,,,6,False,False,tenant_globex
TKT-10070,Keyboard not working,User reported: Keyboard not working. Department: Legal. Impact: Single user.,Hardware,Medium,In Progress,2023-11-28 11:27:27,2023-11-28 13:27:27,,,David Lee,IT,,,6,False,False,tenant_acme
TKT-10071,SSO not working,User reported: SSO not working. Department: Sales. Impact: Department-wide.,Access Management,Medium,In Progress,2024-03-12 06:32:13,2024-03-12 12:32:13,,,Alice Johnson,Sales,,,4,False,False,tenant_acme
TKT-10072,Keyboard not working,User reported: Keyboard not working. Department: Sales. Impact: Department-wide.,Hardware,Medium,Resolved,2024-03-08 01:32:24,2024-03-08 02:32:24,2024-03-08 23:32:24,22,Bob Martinez,Finance,Hardware replaced under warranty.,3,6,True,False,tenant_acme
TKT-10073,Offboarding checklist,User reported: Offboarding checklist. Department: Operations. Impact: Company-wide.,Access Management,Low,Resolved,2023-02-24 01:09:58,2023-02-24 09:09:58,2023-02-25 04:09:58,27,Carol White,HR,Software reinstalled and patched to latest version.,3,6,True,True,tenant_acme
